user_id,age_group,location,device_type,suscription_type,days_since_registration,total_purchases,avg_order_value,last_purchase_days,session_last_30_days,time_on_site_minutes,pages_per_session,cart_abandonment_rate,purchase_frequency,dar_promocion
user_000077,26-35,Buenos Aires,Móvil,Free,28,35,383.81,96.0,14,,17.5,0.981,35.0,1
user_000078,36-45,Buenos Aires,Desktop,Free,243,47,241.76,97.0,12,118.6,16.1,0.652,5.8,1
user_000079,26-35,Buenos Aires,Móvil,Basic,288,6,438.35,112.0,3,63.6,9.7,0.722,0.62,1
user_000080,46-55,Otros,Móvil,Premium,156,16,175.9,177.0,12,78.3,17.2,0.852,3.08,0
user_000081,26-35,Buenos Aires,Desktop,Premium,92,34,27.59,17.0,7,76.1,18.5,0.997,11.09,1
user_000082,26-35,Buenos Aires,Desktop,Premium,319,28,91.52,76.0,28,4.4,7.2,,2.63,1
user_000083,26-35,Buenos Aires,Móvil,Basic,182,50,98.23,44.0,2,73.5,8.3,0.683,8.24,1
user_000084,56+,Buenos Aires,Móvil,Free,111,16,336.75,119.0,28,35.2,11.4,,4.32,1
user_000085,56+,Buenos Aires,Tablet,Basic,189,29,424.2,50.0,12,102.5,3.0,,4.6,0
user_000086,36-45,Otros,Móvil,Enterprise,182,42,203.94,2.0,18,103.9,15.8,0.974,6.92,1
user_000087,36-45,La Plata,Tablet,Premium,55,14,307.46,90.0,7,76.8,12.8,,,1
user_000088,36-45,Buenos Aires,Móvil,Basic,28,2,161.38,112.0,1,70.0,14.9,0.09,2.0,0
user_000089,26-35,Córdoba,Móvil,Premium,214,23,270.12,69.0,26,20.6,18.4,0.944,3.22,1
user_000090,36-45,Buenos Aires,Móvil,Enterprise,214,9,379.53,57.0,27,81.5,13.8,0.397,,0
user_000091,26-35,Mendoza,Móvil,Basic,80,29,190.61,172.0,8,70.6,16.6,0.94,,1
user_000092,36-45,Córdoba,Desktop,Premium,310,20,458.48,56.0,20,8.5,16.7,0.909,1.94,0
user_000093,36-45,Buenos Aires,Móvil,Free,211,31,66.9,60.0,28,65.0,8.4,0.371,4.41,0
user_000094,56+,Córdoba,Desktop,Free,9,26,330.91,125.0,19,49.6,19.1,0.033,26.0,0
user_000095,26-35,Córdoba,Móvil,Free,176,43,189.99,165.0,11,8.2,6.2,,7.33,0
user_000096,18-25,Buenos Aires,Desktop,Enterprise,133,3,395.53,62.0,4,94.7,4.9,0.83,,1
user_000097,26-35,Buenos Aires,Desktop,Free,82,9,396.44,152.0,0,34.0,19.7,0.988,3.29,0
user_000098,26-35,Buenos Aires,Desktop,Free,89,0,185.54,999.0,25,29.3,7.2,0.174,0.0,1
user_000099,,Córdoba,Móvil,Free,339,28,391.23,131.0,18,,10.6,0.945,2.48,0
user_000100,36-45,Otros,Desktop,Free,343,41,482.37,15.0,15,101.8,9.1,,3.59,0
user_000101,,Buenos Aires,Móvil,Basic,1,4,71.83,159.0,20,70.7,14.5,0.381,4.0,0
user_000102,36-45,Córdoba,Desktop,Free,60,44,66.06,167.0,20,105.4,11.5,0.865,22.0,0
user_000103,26-35,Buenos Aires,Móvil,Basic,145,26,367.51,80.0,13,38.2,5.8,0.954,5.38,0
user_000104,56+,Buenos Aires,Desktop,Free,14,6,374.85,95.0,25,,2.1,,6.0,0
user_000105,26-35,Buenos Aires,Móvil,Basic,78,48,217.24,13.0,30,35.2,6.9,0.104,,1
user_000106,26-35,Rosario,Móvil,Free,106,35,190.1,71.0,18,27.9,9.2,,9.91,0
user_000107,36-45,Rosario,Móvil,Premium,47,44,141.05,46.0,8,84.6,6.9,0.34,28.09,0
user_000108,18-25,Buenos Aires,Desktop,Free,362,47,320.25,7.0,2,89.8,5.1,0.42,,0
user_000109,18-25,Buenos Aires,Móvil,Premium,191,38,51.63,13.0,4,19.7,12.7,0.674,5.97,1
user_000110,26-35,Córdoba,Desktop,Basic,226,13,379.92,29.0,11,52.2,6.4,0.678,,0
user_000111,36-45,Buenos Aires,Móvil,Enterprise,116,3,13.77,77.0,30,26.1,3.6,0.256,,0
user_000112,18-25,Córdoba,Móvil,Free,198,34,354.8,128.0,17,100.2,16.3,0.072,,1
user_000113,26-35,Córdoba,Móvil,Free,344,27,290.97,163.0,13,35.5,8.7,0.966,2.35,1
user_000114,46-55,Rosario,Desktop,Premium,278,5,223.99,27.0,7,52.8,8.6,0.079,,1
user_000115,36-45,Buenos Aires,Desktop,Free,207,40,65.87,130.0,6,108.8,7.6,,5.8,1
user_000116,46-55,Buenos Aires,Móvil,Free,35,38,84.91,167.0,2,22.1,15.7,0.494,32.57,0
user_000117,46-55,Córdoba,Tablet,Basic,77,40,493.4,82.0,27,116.5,7.0,,,1
user_000118,26-35,Buenos Aires,Móvil,Free,125,32,46.35,118.0,14,5.5,8.0,0.287,7.68,1
user_000119,46-55,La Plata,Desktop,Basic,35,29,294.36,,14,109.2,11.9,0.188,24.86,1
user_000120,26-35,Buenos Aires,Móvil,Free,56,21,491.37,21.0,16,77.9,1.7,,11.25,0
user_000121,36-45,,Móvil,Premium,141,24,210.3,86.0,21,72.1,16.0,0.647,,0
user_000122,26-35,Rosario,Móvil,Free,332,42,482.56,154.0,27,,2.5,0.664,3.8,1
user_000123,26-35,Rosario,Desktop,Free,186,45,469.62,79.0,17,45.8,16.0,0.813,,0
user_000124,36-45,Otros,Tablet,Premium,22,5,326.55,108.0,16,44.1,7.9,0.18,,1
user_000125,26-35,Mendoza,Móvil,Enterprise,256,9,47.81,25.0,16,92.7,16.9,,1.05,0
user_000126,36-45,La Plata,Desktop,Basic,346,9,89.5,177.0,24,75.3,18.2,,0.78,0
user_000127,26-35,Rosario,Móvil,Basic,343,18,378.67,114.0,7,64.5,6.9,0.809,,1
user_000128,56+,Buenos Aires,Desktop,Basic,125,28,236.22,72.0,24,46.4,11.0,,6.72,0
user_000129,,Buenos Aires,Móvil,Basic,263,23,281.72,26.0,22,101.7,17.2,0.285,,0
user_000130,26-35,Otros,Móvil,Basic,283,14,410.18,89.0,29,4.2,2.0,0.502,,0
user_000131,26-35,Buenos Aires,Móvil,Free,245,6,421.2,166.0,10,95.2,3.6,0.287,0.73,0
user_000132,36-45,Buenos Aires,Desktop,Basic,124,0,453.87,999.0,0,,16.9,0.549,0.0,0
user_000133,36-45,Buenos Aires,Móvil,Free,54,3,126.84,163.0,25,75.1,2.2,0.837,1.67,0
user_000134,36-45,Buenos Aires,Móvil,Free,110,9,152.72,0.0,19,43.0,11.8,,2.45,0
user_000135,18-25,Otros,Móvil,Basic,23,32,395.34,129.0,17,,17.6,0.044,32.0,0
user_000136,56+,,Móvil,Premium,167,22,128.15,168.0,20,13.3,12.1,0.757,,0
user_000137,18-25,Córdoba,Desktop,Free,297,49,345.49,178.0,15,76.2,16.4,0.063,4.95,1
user_000138,18-25,Buenos Aires,Desktop,Premium,131,20,467.35,131.0,12,118.7,11.3,0.253,,0
user_000139,18-25,Córdoba,Desktop,Premium,34,21,143.88,94.0,13,106.8,15.1,0.895,18.53,1
user_000140,26-35,Buenos Aires,Desktop,Free,168,33,140.69,21.0,23,51.5,9.2,,5.89,1
user_000141,36-45,Buenos Aires,Móvil,Basic,273,19,228.5,109.0,5,83.1,7.7,0.042,2.09,0
user_000142,36-45,Córdoba,Desktop,Premium,185,3,46.77,163.0,12,44.2,16.2,0.679,0.49,1
user_000143,18-25,Rosario,Desktop,Free,350,4,125.64,165.0,11,44.1,19.0,0.032,0.34,0
user_000144,36-45,Otros,Móvil,Premium,287,36,77.47,93.0,12,38.4,6.3,,3.76,0
user_000145,36-45,Córdoba,Móvil,Basic,352,16,389.73,180.0,14,26.5,12.6,,,1
user_000146,,Buenos Aires,Móvil,Free,114,45,228.1,22.0,25,82.1,17.1,0.32,11.84,0
user_000147,36-45,Córdoba,Móvil,Free,188,10,358.79,179.0,20,21.7,7.9,0.224,1.6,0
user_000148,46-55,Buenos Aires,Móvil,Free,263,36,190.77,141.0,4,73.8,2.6,0.309,4.11,1
user_000149,36-45,Mendoza,Desktop,Free,120,20,324.75,115.0,14,81.9,7.5,0.878,5.0,1
user_000150,36-45,Buenos Aires,Tablet,Basic,83,3,417.38,132.0,4,,4.1,0.935,1.08,0
user_000151,26-35,Otros,Desktop,Premium,250,16,106.19,141.0,8,,6.8,0.533,1.92,0
user_000152,36-45,Rosario,Móvil,Free,108,39,363.11,154.0,10,101.3,11.7,0.825,10.83,0
user_000153,18-25,Otros,Desktop,Free,351,13,385.81,106.0,19,77.0,10.5,0.627,1.11,1
user_000154,36-45,Buenos Aires,Móvil,Premium,217,25,155.74,18.0,22,8.1,9.4,,3.46,1
user_000155,26-35,Buenos Aires,Desktop,Free,261,22,487.93,33.0,24,,11.7,0.319,2.53,1
user_000156,18-25,Córdoba,Móvil,Free,127,24,433.44,107.0,7,115.6,18.1,0.813,,0
user_000157,36-45,Buenos Aires,Móvil,Enterprise,70,29,254.39,78.0,15,,19.0,0.505,12.43,1
user_000158,26-35,Córdoba,Móvil,Basic,242,41,339.54,73.0,17,2.0,3.0,0.134,5.08,1
user_000159,36-45,Mendoza,Móvil,Basic,230,36,285.29,92.0,17,35.3,8.3,0.45,4.7,1
user_000160,26-35,Otros,Desktop,Free,84,6,203.01,86.0,17,,15.3,0.199,,0
user_000161,26-35,Buenos Aires,Móvil,,105,30,264.47,38.0,19,107.3,3.7,0.931,8.57,0
user_000162,18-25,Otros,Desktop,Free,202,21,258.58,130.0,17,59.3,11.7,,,0
user_000163,26-35,Rosario,Tablet,Basic,357,50,450.4,176.0,20,4.2,10.0,0.967,,1
user_000164,36-45,Mendoza,Móvil,Free,69,40,363.38,97.0,4,98.8,5.6,0.573,17.39,1
user_000165,18-25,Buenos Aires,Móvil,Free,7,44,109.91,128.0,24,73.8,10.0,0.848,44.0,1
user_000166,36-45,Córdoba,Móvil,Enterprise,334,30,267.48,80.0,30,21.6,18.3,0.342,2.69,0
user_000167,36-45,La Plata,Desktop,Premium,184,16,308.94,49.0,30,30.3,11.6,0.225,,0
user_000168,46-55,Mendoza,Desktop,Basic,213,30,180.91,70.0,9,15.5,13.9,,,0
user_000169,,Otros,Desktop,Free,163,18,478.1,20.0,11,111.0,13.5,0.747,3.31,1
user_000170,26-35,Córdoba,Tablet,Basic,256,8,63.52,150.0,7,29.9,13.7,0.531,0.94,0
user_000171,26-35,Buenos Aires,Móvil,Basic,39,43,387.68,1.0,30,66.5,18.7,0.407,33.08,0
user_000172,,Buenos Aires,Tablet,Free,122,41,38.99,22.0,20,69.3,11.2,0.723,10.08,0
user_000173,56+,Buenos Aires,Desktop,Free,346,2,498.61,101.0,25,60.0,18.8,0.962,0.17,0
user_000174,46-55,Buenos Aires,Móvil,Free,217,21,149.44,164.0,17,63.4,17.9,0.134,2.9,0
user_000175,26-35,Buenos Aires,Móvil,Free,107,29,327.66,47.0,0,88.7,16.0,0.568,,1
user_000176,18-25,La Plata,Desktop,Premium,267,32,170.68,102.0,21,12.4,19.7,0.477,3.6,1
user_000177,18-25,Córdoba,Móvil,Free,238,21,157.95,146.0,0,32.1,7.8,0.236,,1
user_000178,18-25,Buenos Aires,Móvil,Basic,24,45,387.22,176.0,3,77.0,18.9,0.368,45.0,1
user_000179,26-35,Buenos Aires,Móvil,Premium,252,38,193.08,179.0,17,109.6,15.4,0.802,4.52,0
user_000180,46-55,Rosario,Móvil,Premium,254,33,228.91,180.0,11,10.3,11.7,0.062,3.9,0
user_000181,56+,Buenos Aires,Móvil,Free,85,33,226.5,174.0,6,86.3,10.3,0.899,11.65,0
user_000182,46-55,Córdoba,Móvil,Basic,137,3,283.81,172.0,25,37.7,1.4,0.254,,0
user_000183,36-45,Rosario,Móvil,Free,364,4,275.17,15.0,29,107.4,19.7,,0.33,1
user_000184,26-35,Mendoza,Desktop,Enterprise,219,41,482.25,95.0,28,,17.5,,5.62,0
user_000185,18-25,Otros,Desktop,Free,173,22,68.13,137.0,12,,14.8,0.223,3.82,1
user_000186,46-55,Otros,Móvil,Premium,364,27,270.65,58.0,7,55.8,3.9,0.188,2.23,1
user_000187,18-25,Rosario,Desktop,Premium,308,1,127.93,17.0,3,71.7,9.5,0.672,0.1,1
user_000188,26-35,Buenos Aires,Móvil,Basic,341,48,433.23,14.0,4,61.0,6.5,,4.22,0
user_000189,26-35,Rosario,Desktop,Free,71,19,439.37,169.0,16,27.3,6.7,0.061,8.03,1
user_000190,46-55,Otros,Desktop,Basic,63,31,32.97,88.0,30,77.6,8.2,0.524,14.76,1
user_000191,26-35,Buenos Aires,Móvil,Premium,9,30,128.07,57.0,9,103.0,3.7,0.463,30.0,1
user_000192,36-45,Otros,Móvil,Free,336,15,134.95,84.0,20,10.4,9.5,0.371,1.34,1
user_000193,36-45,,Móvil,Basic,91,38,29.38,18.0,6,96.8,12.2,0.671,12.53,0
user_000194,26-35,La Plata,Móvil,Enterprise,254,0,113.79,999.0,6,115.5,3.2,1.0,0.0,1
user_000195,56+,Rosario,Desktop,Free,120,15,280.52,72.0,12,56.5,13.3,0.308,3.75,1
user_000196,36-45,Córdoba,Móvil,Enterprise,181,30,383.2,81.0,29,,6.9,0.046,4.97,1
user_000197,36-45,Buenos Aires,Móvil,Basic,252,46,214.61,39.0,6,,8.2,0.833,5.48,1
user_000198,36-45,Otros,Móvil,Premium,110,31,483.59,164.0,23,59.4,4.2,0.795,,1
user_000199,18-25,Córdoba,Móvil,Premium,279,41,479.05,134.0,1,100.8,2.4,0.818,4.41,1
user_000200,46-55,Córdoba,Desktop,Free,341,45,84.0,55.0,16,55.3,2.1,0.638,3.96,0
user_000201,56+,Rosario,Móvil,Basic,50,26,15.81,135.0,23,,19.6,0.017,,0
user_000202,36-45,La Plata,Tablet,Free,8,6,266.95,61.0,6,74.8,5.8,0.354,6.0,1
user_000203,18-25,Otros,Móvil,Free,162,44,120.67,175.0,26,,13.4,,8.15,1
user_000204,18-25,Córdoba,Móvil,Free,349,0,354.39,999.0,2,60.5,9.2,0.784,0.0,1
user_000205,56+,Otros,Desktop,Premium,76,14,113.59,177.0,28,68.4,6.2,,5.53,0
user_000206,,La Plata,Móvil,Free,15,20,17.67,53.0,18,18.2,16.6,0.821,20.0,1
user_000207,26-35,Rosario,Móvil,Premium,326,43,449.3,84.0,12,90.9,3.7,0.988,3.96,1
user_000208,36-45,Otros,Móvil,Basic,325,4,176.89,157.0,30,71.9,19.4,,0.37,0
user_000209,,,Móvil,Free,41,24,221.61,174.0,18,79.6,2.6,0.619,17.56,1
user_000210,36-45,Buenos Aires,Móvil,Premium,239,40,85.6,99.0,10,43.9,2.7,0.943,5.02,1
user_000211,26-35,Buenos Aires,Móvil,Free,138,28,282.92,131.0,13,13.3,2.7,0.554,,1
user_000212,36-45,Buenos Aires,Móvil,Free,60,24,391.79,143.0,28,,5.6,0.521,12.0,1
user_000213,26-35,Buenos Aires,Móvil,Basic,15,4,91.93,70.0,13,36.7,15.9,0.361,4.0,0
user_000214,36-45,Córdoba,Desktop,Basic,239,8,159.28,101.0,10,101.2,8.2,,1.0,0
user_000215,26-35,La Plata,Desktop,Enterprise,140,8,157.21,154.0,30,83.7,10.1,0.178,1.71,0
user_000216,56+,Buenos Aires,Desktop,Basic,162,36,393.17,83.0,12,34.4,15.9,0.365,6.67,0
user_000217,18-25,Otros,Móvil,Premium,77,1,476.97,118.0,30,85.3,9.3,0.291,,0
user_000218,18-25,La Plata,Desktop,Basic,11,8,320.33,61.0,8,79.4,14.6,,8.0,1
user_000219,26-35,Rosario,Móvil,Basic,328,44,214.97,9.0,25,116.2,14.3,0.812,4.02,1
user_000220,36-45,Buenos Aires,Desktop,Basic,61,22,91.51,156.0,1,68.0,13.3,0.647,,0
user_000221,56+,Córdoba,Móvil,Free,196,32,375.96,142.0,18,82.8,5.2,0.374,4.9,1
user_000222,46-55,Rosario,Móvil,Free,128,1,246.56,75.0,13,110.5,2.6,,,0
user_000223,26-35,Buenos Aires,Desktop,Basic,293,22,243.32,112.0,23,83.9,7.1,,,1
user_000224,18-25,La Plata,Desktop,Basic,2,10,465.66,62.0,16,21.8,4.0,0.56,10.0,1
user_000225,26-35,,Móvil,Basic,129,27,203.84,157.0,28,24.5,12.3,0.389,6.28,1
user_000226,26-35,Buenos Aires,Desktop,Premium,5,36,59.86,137.0,5,44.5,4.7,0.114,36.0,1
user_000227,46-55,Córdoba,Desktop,Basic,22,39,202.35,29.0,11,,9.7,0.173,39.0,1
user_000228,36-45,Buenos Aires,Desktop,Free,21,8,163.46,61.0,9,14.9,8.1,0.141,8.0,0
user_000229,26-35,Buenos Aires,Móvil,Free,167,40,273.32,165.0,29,120.0,11.5,0.49,7.19,0
user_000230,18-25,La Plata,Desktop,Premium,294,0,247.46,999.0,6,98.0,19.3,,0.0,1
user_000231,26-35,Córdoba,Desktop,Basic,112,10,50.51,7.0,25,91.6,6.5,0.275,,1
user_000232,26-35,Mendoza,Móvil,Premium,90,31,279.37,28.0,18,,15.7,0.823,10.33,0
user_000233,36-45,Mendoza,Desktop,Basic,178,13,494.99,,23,99.8,15.3,0.298,2.19,0
user_000234,26-35,Buenos Aires,Desktop,Basic,349,7,390.06,60.0,6,97.5,12.2,0.351,0.6,0
user_000235,36-45,Córdoba,Desktop,Premium,2,13,404.67,145.0,11,64.3,12.3,0.168,,0
user_000236,26-35,Rosario,,Basic,5,43,409.44,34.0,30,90.3,8.8,0.059,43.0,1
user_000237,46-55,Buenos Aires,Desktop,Free,224,45,167.83,63.0,24,101.4,8.5,,6.03,1
user_000238,,Córdoba,Móvil,Basic,42,49,55.62,131.0,23,34.1,18.8,0.369,35.0,1
user_000239,26-35,Buenos Aires,Desktop,Premium,116,46,486.35,162.0,21,84.0,17.2,,11.9,0
user_000240,26-35,Córdoba,Móvil,Free,162,18,175.5,147.0,4,,10.2,,3.33,1
user_000241,46-55,Buenos Aires,Desktop,Premium,16,1,70.88,40.0,14,55.3,19.8,0.428,1.0,0
user_000242,56+,La Plata,Móvil,Premium,13,17,55.74,92.0,8,10.8,13.6,0.649,17.0,1
user_000243,26-35,Buenos Aires,Desktop,Free,339,41,54.69,24.0,0,26.4,2.5,0.594,3.63,0
user_000244,36-45,Buenos Aires,Desktop,Premium,100,27,350.08,122.0,2,28.2,2.7,0.806,,1
user_000245,,La Plata,Móvil,Premium,313,48,438.5,164.0,21,18.0,11.1,0.008,4.6,1
user_000246,18-25,Córdoba,Móvil,Premium,33,26,311.88,113.0,27,26.9,18.0,0.14,23.64,0
user_000247,36-45,Córdoba,Tablet,Free,302,8,131.42,165.0,2,30.5,12.4,0.721,,1
user_000248,46-55,Rosario,Desktop,Basic,220,19,110.67,155.0,16,23.4,8.4,,2.59,1
user_000249,26-35,Buenos Aires,Móvil,Basic,243,33,445.48,3.0,11,112.1,3.5,0.861,4.07,0
user_000250,26-35,,Móvil,Basic,74,49,45.77,150.0,2,2.6,5.1,0.923,,0
user_000251,36-45,Rosario,Móvil,Basic,162,44,207.12,163.0,17,65.0,3.9,0.084,8.15,1
user_000252,36-45,Buenos Aires,Desktop,Basic,325,25,297.35,166.0,21,77.5,6.9,0.437,2.31,1
user_000253,18-25,Buenos Aires,Móvil,Basic,243,38,36.96,170.0,23,79.3,4.3,0.013,4.69,0
user_000254,36-45,Buenos Aires,Tablet,Basic,295,50,413.03,66.0,5,45.3,15.2,0.873,5.08,1
user_000255,46-55,Buenos Aires,Desktop,Free,305,4,138.85,147.0,20,10.2,9.6,0.36,0.39,1
